what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1269226173710
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1269226173711
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1269226173711
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1269226173711
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1269226173712
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1269226173712
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1269226173712
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1269226173712
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1269226173712
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1269226173713
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1269226173713
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1269226173713
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1269226173714
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1269226173714
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1269226173717
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1269226173718
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1269226173718
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1269226173719
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1269226173720
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1269226173720
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1269226173721
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1269226173721
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1269226173722
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1269226173722
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1269226173723
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1269226173723
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1269226173723
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1269226173724
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1269226173724
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269226173725
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1269226173725
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1269226173725
os,sysinfo,,,"linux",1269226173730
arch,sysinfo,,,"x86",1269226173730
ws,sysinfo,,,"gtk",1269226173730
locale,sysinfo,,,"en_US",1269226173730
processors,sysinfo,,,"2",1269226173730
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1269226173730
java.runtime.version,sysinfo,,,"1.6.0_0-b16",1269226173730
java.specification.name,sysinfo,,,"Java Platform API Specification",1269226173730
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269226173730
java.specification.version,sysinfo,,,"1.6",1269226173730
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269226173730
java.version,sysinfo,,,"1.6.0_0",1269226173730
java.vm.info,sysinfo,,,"mixed mode, sharing",1269226173730
java.vm.name,sysinfo,,,"OpenJDK Client VM",1269226173730
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269226173730
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269226173730
java.vm.specification.version,sysinfo,,,"1.0",1269226173730
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269226173730
java.vm.version,sysinfo,,,"14.0-b16",1269226173730
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226174181
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226182486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226185781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1269226191305
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1269226191305
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226191312
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1269226196649
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1269226196693
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226196969
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.customizePerspective",1269226221695
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226221710
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226231020
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1269226233228
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1269226233267
activated,perspective,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui.cvsPerspective",1269226233283
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1269226233306
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1269226233306
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226233316
activated,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1269226236153
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1269226236178
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269226238444
