what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1223929610786
executed,command,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui.format.document,1223929615060
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223929644154
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223929665016
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223929670616
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223929743860
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223929745467
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930171291
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930191412
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930221839
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223930223105
closed,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223930223112
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930223638
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930224233
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223930224928
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223930224979
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930226793
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930227691
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223930237119
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1223930237159
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930239449
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930240880
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223930246655
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223930250402
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223930254075
