table_name,col,name,asn,get_fn,src_struct,src_reader,src_field,src_field_type,src_max_len,err_type,err_ok
tx21BucInfoTable,2,tx21BucModelNumber,ASN_OCTET_STR,snmp_tx21_buc_model_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,model_number,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,3,tx21BucSerialNumber,ASN_OCTET_STR,snmp_tx21_buc_serial_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,serial_number,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,4,tx21BucFirmwareVersion,ASN_OCTET_STR,snmp_tx21_buc_fw_get,ibuc_cfg_s,j_read_cfg_ibuc,firmware_version,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,5,tx21BucHardwareVersion,ASN_OCTET_STR,snmp_tx21_buc_hw_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,hardware_revision,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,6,tx21BucPowerWatts,ASN_INTEGER,snmp_tx21_buc_power_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,rated_power_mB,int32,,Err,Err::SUCCESS
tx21BucInfoTable,7,tx21BucRFRange,ASN_OCTET_STR,snmp_tx21_buc_rf_range_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,rf_range,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,8,tx21BucIFRange,ASN_OCTET_STR,snmp_tx21_buc_if_range_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,if_range,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,9,tx21BucLOFrequency,ASN_OCTET_STR,snmp_tx21_buc_lo_freq_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,lo_freq,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,10,tx21BucSpectralInvert,ASN_OCTET_STR,snmp_tx21_buc_lo_spectral_inversion_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,lo_spectral_inversion,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,11,tx21BucVoltageRange,ASN_OCTET_STR,snmp_tx21_buc_supply_voltage_range_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,supply_voltage_min,string,MAX_LEN,Err,Err::SUCCESS
tx21BucInfoTable,12,tx21BucInternal10MHz,ASN_INTEGER,snmp_tx21_buc_10mhz_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,internal_10MHz,int32,,Err,Err::SUCCESS
tx21BucInfoTable,13,tx21BucTotalSysHours,ASN_INTEGER,snmp_tx21_buc_total_sys_hours_get,ibuc_cfg_factory_s,j_read_fcfg_ibuc,total_sys_hours,int32,,Err,Err::SUCCESS
