table_name,col,name,asn,get_fn,src_struct,src_reader,src_field,src_field_type,src_max_len,err_type,err_ok
tx21BucTxTable,2,tx21BucTxEnable,ASN_INTEGER,snmp_tx21_buc_tx_enable_get,ibuc_cfg_s,j_read_cfg_ibuc,tx_enable,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,3,tx21BucFrequency,ASN_INTEGER,snmp_tx21_buc_tx_frequency_get,ibuc_cfg_s,j_read_cfg_ibuc,monitor_freq,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,4,tx21BucPowerupState,ASN_INTEGER,snmp_tx21_buc_tx_power_up_state_get,ibuc_cfg_s,j_read_cfg_ibuc,tx_pup_state,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,5,tx21BucPowerupDelay,ASN_INTEGER,snmp_tx21_buc_tx_power_up_delay_get,ibuc_cfg_s,j_read_cfg_ibuc,tx_pup_delay,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,6,tx21BucReadPowerMode,ASN_INTEGER,snmp_tx21_buc_tx_read_power_mode_get,ibuc_cfg_s,j_read_cfg_ibuc,power_monitor_mode,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,7,tx21BucBurstThreshold,ASN_INTEGER,snmp_tx21_buc_tx_burst_thold_mB_get,ibuc_cfg_s,j_read_cfg_ibuc,burst_thold_mB,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,8,tx21BucGainMode,ASN_INTEGER,snmp_tx21_buc_tx_gain_mode_get,ibuc_cfg_s,j_read_cfg_ibuc,automatic_mode,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,9,tx21BucAttenuation,ASN_INTEGER,snmp_tx21_buc_tx_attenuation_get,ibuc_cfg_s,j_read_cfg_ibuc,attenuation_mB,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,10,tx21BucInputTresholdLo,ASN_INTEGER,snmp_tx21_buc_tx_input_threshold_low_get,ibuc_cfg_s,j_read_cfg_ibuc,in_low_thold_mB,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,11,tx21BucInputTresholdHi,ASN_INTEGER,snmp_tx21_buc_tx_input_threshold_high_get,ibuc_cfg_s,j_read_cfg_ibuc,in_high_thold_mB,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,12,tx21BucOutputTresholdLo,ASN_INTEGER,snmp_tx21_buc_tx_output_threshold_low_get,ibuc_cfg_s,j_read_cfg_ibuc,out_low_thold_mB,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,13,tx21BucInputTresholdHi,ASN_INTEGER,snmp_tx21_buc_tx_output_threshold_high_get,ibuc_cfg_s,j_read_cfg_ibuc,out_high_thold_mB,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,14,tx21BucBurstTimeout,ASN_INTEGER,snmp_tx21_buc_tx_burst_timeout_get,ibuc_cfg_s,j_read_cfg_ibuc,burst_timeout,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,15,tx21BucResetGainControl,ASN_INTEGER,snmp_tx21_buc_tx_reset_gain_control_set,ibuc_cfg_s,,,int32,MAX_LEN,Err,Err::SUCCESS
tx21BucTxTable,16,tx21BucGainControl,ASN_INTEGER,snmp_tx21_buc_tx_gain_control_get,status_s,read,gain_control_mB,int32,MAX_LEN,Err,Err::SUCCESS
